Pre_Range,Count,Average_Gaussian,Average_Median,Average_Wavelet,Average_Weiner,Median_Gaussian,Median_Median,Median_Wavelet,Median_Weiner
"[1, 6)",3,325.0,475.0,254.37678046666667,-92.57879196333333,325.0,475.0,254.3356418,-86.73895288
"[6, 11)",5,214.31467246000003,321.54830834,100.22793207800001,-3.5681230513999993,216.546991,324.5124084,99.94662768,8.57480382
"[11, 16)",11,110.75724718818182,162.2325688090909,46.28571512,-6.383388831890909,104.7628221,164.839593,40.88596435,0.5239550506
"[16, 21)",13,56.39451437461538,83.56008222307693,28.29116771483077,-15.37434425943846,55.89871436,78.54985042,26.53863899,-6.454338133
"[21, 26)",18,39.46699847,61.203774897222225,26.176858792344447,-26.27032917847778,39.96410621,53.253700325,24.38413018,-15.8796227035
"[26, 31)",26,13.743532856538462,28.586657513526923,10.995897958553845,-23.21927040374231,11.955244725,16.40151025,5.995109458,-9.370282073
"[31, 36)",30,8.754182626946665,9.561701586109999,3.8196896109033336,-43.12526848526,12.05969216,8.750286493,6.625048424,-47.310075194999996
"[36, 41)",25,2.14783721732,3.4837776237719997,-1.5106587236159998,-30.327790283848,11.28235406,-3.959868295,-6.295131267,-25.19716339
"[41, 46)",9,-14.260995934777778,-7.674067319555555,-6.677888054666667,-36.970524119222226,-24.65578708,-11.52520881,-10.08426149,-41.93851121
"[46, 51)",7,-28.85120365366714,-13.031436086571428,-11.8206624498,-39.214892237571426,-38.67533762,-21.30458181,-16.35883251,-36.64089414
"[51, 56)",5,-45.228214668,-25.401189738,-22.173235390000002,-35.44264202000001,-44.74576233,-28.20697976,-21.92957286,-31.17820989
"[56, 61)",1,-51.68177707,-33.59636484,-24.39891798,-73.89088862,-51.68177707,-33.59636484,-24.39891798,-73.89088862
"[61, 66)",5,-51.55944339,-38.005768794,-22.607297138,-41.145412613,-51.93173568,-36.40804898,-23.08795367,-35.89968401
"[66, 71)",2,-54.589606939999996,-42.599457885,-23.387933205,-66.792914175,-54.589606939999996,-42.599457885,-23.387933205,-66.792914175
